imo,latitude,longitude,timestamp,tloc,GT,vessel_name,time_diff,distance_km,calculated_speed,trip_id,unique_trip_id
1020423,-0.7494983,-90.30888,2024-09-01 00:20:28,2024-09-01 00:17:34,769.0,CORMORANT II,,,,1,1020423_1
1020423,-0.7744917,-90.27305,2024-09-01 02:20:29,2024-09-01 02:17:06,769.0,CORMORANT II,7201.0,4.85736283001999,2.4283441449898575,2,1020423_2
1020423,-0.8648833,-90.05688,2024-09-01 04:20:29,2024-09-01 04:17:51,769.0,CORMORANT II,7200.0,26.051558709197277,13.025779354598638,2,1020423_2
1020423,-0.934595,-89.85169,2024-09-01 06:20:29,2024-09-01 06:16:36,769.0,CORMORANT II,7200.0,24.094242191756297,12.047121095878149,2,1020423_2
1020423,-0.9990633,-89.64759,2024-09-01 08:20:28,2024-09-01 08:18:00,769.0,CORMORANT II,7199.0,23.797041044953048,11.900173324327126,2,1020423_2
1020423,-1.03721,-89.44494,2024-09-01 10:20:30,2024-09-01 10:16:56,769.0,CORMORANT II,7202.0,22.92590922844176,11.45977134440299,3,1020423_3
1020423,-1.079015,-89.22293,2024-09-01 12:21:03,2024-09-01 12:17:31,769.0,CORMORANT II,7233.0,25.116098025079125,12.500753890541247,4,1020423_4
1020423,-1.119038,-89.01054,2024-09-01 14:20:35,2024-09-01 14:17:49,769.0,CORMORANT II,7172.0,24.028077567485273,12.060942448821386,4,1020423_4
1020423,-1.157162,-88.80803,2024-09-01 16:20:28,2024-09-01 16:11:59,769.0,CORMORANT II,7193.0,22.90927432959322,11.465784455239204,4,1020423_4
1020423,-1.176927,-88.70296,2024-09-01 18:20:29,2024-09-01 17:10:14,769.0,CORMORANT II,7201.0,11.885786076769051,5.942067751196859,5,1020423_5
1020423,-1.176927,-88.70296,2024-09-01 20:20:28,2024-09-01 17:10:14,769.0,CORMORANT II,7199.0,0.0,0.0,5,1020423_5
1020423,-1.176927,-88.70296,2024-09-01 22:20:29,2024-09-01 17:10:14,769.0,CORMORANT II,7201.0,0.0,0.0,6,1020423_6
5142657,54.52223,18.55771,2024-09-01 00:20:28,2024-09-01 00:16:49,2598.0,SERENISSIMA,,,,1,5142657_1
5142657,54.52225,18.55773,2024-09-01 02:20:29,2024-09-01 02:16:50,2598.0,SERENISSIMA,7201.0,0.0025713200682707465,0.00128548149503884,2,5142657_2
5142657,54.52227,18.55773,2024-09-01 04:20:29,2024-09-01 04:16:45,2598.0,SERENISSIMA,7200.0,0.002223898532489277,0.0011119492662446384,2,5142657_2
5142657,54.52226,18.55775,2024-09-01 06:20:29,2024-09-01 06:16:49,2598.0,SERENISSIMA,7200.0,0.0017036406128025075,0.0008518203064012537,2,5142657_2
5142657,54.52221,18.55772,2024-09-01 08:20:28,2024-09-01 08:13:46,2598.0,SERENISSIMA,7199.0,0.005887206057600011,0.002944011919344359,2,5142657_2
5142657,54.52227,18.55776,2024-09-01 10:20:30,2024-09-01 10:16:47,2598.0,SERENISSIMA,7202.0,0.0071536963162310285,0.0035758548650974315,3,5142657_3
5142657,54.52226,18.55775,2024-09-01 12:21:03,2024-09-01 12:16:55,2598.0,SERENISSIMA,7233.0,0.0012856598351436794,0.0006398970560648757,4,5142657_4
5142657,54.52224,18.55773,2024-09-01 14:20:35,2024-09-01 14:13:52,2598.0,SERENISSIMA,7172.0,0.002571319910219747,0.001290679263356259,4,5142657_4
5142657,54.52223,18.55774,2024-09-01 16:20:28,2024-09-01 16:16:48,2598.0,SERENISSIMA,7193.0,0.0012856600731378013,0.0006434556184201425,4,5142657_4
5142657,54.52228,18.55775,2024-09-01 18:20:29,2024-09-01 18:16:51,2598.0,SERENISSIMA,7201.0,0.005597076873278106,0.002798149804721731,5,5142657_5
5142657,54.52226,18.5577,2024-09-01 20:20:28,2024-09-01 20:10:56,2598.0,SERENISSIMA,7199.0,0.003918925003145934,0.001959734686946154,5,5142657_5
5142657,54.52225,18.55775,2024-09-01 22:20:29,2024-09-01 22:16:55,2598.0,SERENISSIMA,7201.0,0.0034130173334529215,0.0017062716845480511,6,5142657_6
5142657,54.52227,18.55774,2024-09-02 00:20:29,2024-09-02 00:16:58,2598.0,SERENISSIMA,7200.0,0.002315645660901559,0.0011578228304507795,6,5142657_6
5142657,54.52228,18.55775,2024-09-02 02:20:29,2024-09-02 02:13:59,2598.0,SERENISSIMA,7200.0,0.0012856597565271027,0.0006428298782635513,6,5142657_6
5142657,54.52225,18.55773,2024-09-02 04:20:28,2024-09-02 04:16:56,2598.0,SERENISSIMA,7199.0,0.0035768478729674568,0.0017886723632008397,6,5142657_6
5142657,54.52227,18.55773,2024-09-02 06:20:28,2024-09-02 06:13:51,2598.0,SERENISSIMA,7200.0,0.002223898532489277,0.0011119492662446384,6,5142657_6
5142657,54.5222,18.55769,2024-09-02 08:20:29,2024-09-02 08:07:58,2598.0,SERENISSIMA,7201.0,0.008200547411847722,0.004099704302548507,7,5142657_7
5142657,54.52225,18.55776,2024-09-02 10:20:27,2024-09-02 10:16:57,2598.0,SERENISSIMA,7198.0,0.0071637163066117044,0.0035828533903587297,7,5142657_7
5142657,54.52224,18.55773,2024-09-02 12:22:13,2024-09-02 12:16:57,2598.0,SERENISSIMA,7306.0,0.002232676694393055,0.0011001418149212973,8,5142657_8
5142657,54.52227,18.55772,2024-09-02 14:20:31,2024-09-02 14:04:54,2598.0,SERENISSIMA,7098.0,0.0033977008092876365,0.0017232633014138477,8,5142657_8
5142657,54.52225,18.55774,2024-09-02 16:20:35,2024-09-02 16:17:01,2598.0,SERENISSIMA,7204.0,0.0025713197503334966,0.001284946016268821,9,5142657_9
5142657,54.52225,18.55773,2024-09-02 18:20:37,2024-09-02 18:02:02,2598.0,SERENISSIMA,7202.0,0.000645360633882856,0.00032259070841131375,10,5142657_10
5142657,54.52226,18.55773,2024-09-02 20:20:33,2024-09-02 20:20:01,2598.0,SERENISSIMA,7196.0,0.0011119492665983,0.000556283679787921,10,5142657_10
5142657,54.52226,18.55774,2024-09-02 22:20:33,2024-09-02 22:16:56,2598.0,SERENISSIMA,7200.0,0.0006453604758422636,0.0003226802379211318,10,5142657_10
5142657,54.52227,18.55773,2024-09-03 00:20:32,2024-09-03 00:14:02,2598.0,SERENISSIMA,7199.0,0.0012856598351436794,0.0006429192119068268,10,5142657_10
5142657,54.52228,18.55774,2024-09-03 02:20:33,2024-09-03 02:14:02,2598.0,SERENISSIMA,7201.0,0.0012856597564240688,0.0006427406086830506,11,5142657_11
5142657,54.52225,18.55771,2024-09-03 04:20:31,2024-09-03 04:17:03,2598.0,SERENISSIMA,7198.0,0.003856979506757505,0.0019290255938214807,11,5142657_11
5142657,54.52225,18.55776,2024-09-03 06:20:31,2024-09-03 06:14:02,2598.0,SERENISSIMA,7200.0,0.003226803169824736,0.001613401584912368,11,5142657_11
5142657,54.52223,18.55771,2024-09-03 08:20:35,2024-09-03 08:17:04,2598.0,SERENISSIMA,7204.0,0.003918926955481955,0.0019583754913568906,12,5142657_12
5142657,54.52225,18.55774,2024-09-03 10:20:31,2024-09-03 10:14:04,2598.0,SERENISSIMA,7196.0,0.0029485826514643945,0.001475110831749836,12,5142657_12
5142657,54.52227,18.55774,2024-09-03 12:20:31,2024-09-03 12:17:05,2598.0,SERENISSIMA,7200.0,0.002223898532489277,0.0011119492662446384,12,5142657_12
5209699,54.42173,11.19094,2024-09-01 00:20:28,2024-09-01 00:15:32,321.0,ARTEMIS,,,,1,5209699_1
5209699,54.42172,11.19095,2024-09-01 02:20:29,2024-09-01 02:15:32,321.0,ARTEMIS,7201.0,0.0012864576667548692,0.000643139508445706,2,5209699_2
5209699,54.42173,11.19095,2024-09-01 04:20:29,2024-09-01 04:15:30,321.0,ARTEMIS,7200.0,0.0011119492658909769,0.0005559746329454884,2,5209699_2
5209699,54.42173,11.19093,2024-09-01 06:20:29,2024-09-01 06:15:30,321.0,ARTEMIS,7200.0,0.001293896527940719,0.0006469482639703595,2,5209699_2
5209699,54.37703,11.21035,2024-09-01 08:20:28,2024-09-01 08:17:29,321.0,ARTEMIS,7199.0,5.126909709872687,2.563810939789092,2,5209699_2
5209699,54.26682,11.21939,2024-09-01 10:20:30,2024-09-01 10:17:31,321.0,ARTEMIS,7202.0,12.268808151904958,6.1327005480224726,3,5209699_3
5209699,54.08022,11.29339,2024-09-01 12:21:03,2024-09-01 12:17:22,321.0,ARTEMIS,7233.0,21.30063648591853,10.601726994235685,4,5209699_4
5209699,53.90344,11.44767,2024-09-01 14:20:35,2024-09-01 14:17:49,321.0,ARTEMIS,7172.0,22.093356993244118,11.089805518081265,4,5209699_4
